Freq.	V(out)/V(in)
1.65958690743754e+003	(2.64136164313774e+001dB,-5.34296742754790e+001°)
1.69824365246173e+003	(2.66813010711591e+001dB,-5.45676523846502e+001°)
1.73780082874936e+003	(2.69460888690003e+001dB,-5.56991730418436e+001°)
1.77827941003891e+003	(2.72080335836894e+001dB,-5.68241773761117e+001°)
1.81970085860997e+003	(2.74671883041138e+001dB,-5.79426241712188e+001°)
1.86208713666285e+003	(2.77236053212777e+001dB,-5.90544893941113e+001°)
1.90546071796323e+003	(2.79773360054299e+001dB,-6.01597656828430e+001°)
1.94984459975803e+003	(2.82284306888344e+001dB,-6.12584617971054e+001°)
1.99526231496886e+003	(2.84769385541355e+001dB,-6.23506020339271e+001°)
2.04173794466951e+003	(2.87229075287679e+001dB,-6.34362256120857e+001°)
2.08929613085402e+003	(2.89663841853051e+001dB,-6.45153860267113e+001°)
2.13796208950221e+003	(2.92074136481482e+001dB,-6.55881503789169e+001°)
2.18776162394953e+003	(2.94460395063575e+001dB,-6.66545986807439e+001°)
2.23872113856832e+003	(2.96823037328517e+001dB,-6.77148231401971e+001°)
2.29086765276775e+003	(2.99162466099588e+001dB,-6.87689274277236e+001°)
2.34422881531990e+003	(3.01479066613657e+001dB,-6.98170259272800e+001°)
2.39883291901947e+003	(3.03773205902050e+001dB,-7.08592429730423e+001°)
2.45470891568501e+003	(3.06045232236579e+001dB,-7.18957120757886e+001°)
2.51188643150955e+003	(3.08295474636328e+001dB,-7.29265751396123e+001°)
2.57039578276884e+003	(3.10524242436140e+001dB,-7.39519816712663e+001°)
2.63026799189535e+003	(3.12731824916843e+001dB,-7.49720879840180e+001°)
2.69153480392689e+003	(3.14918490994134e+001dB,-7.59870563977126e+001°)
2.75422870333814e+003	(3.17084488968168e+001dB,-7.69970544360075e+001°)
2.81838293126442e+003	(3.19230046330750e+001dB,-7.80022540236636e+001°)
2.88403150312658e+003	(3.21355369630265e+001dB,-7.90028306827828e+001°)
2.95120922666635e+003	(3.23460644394083e+001dB,-7.99989627321316e+001°)
3.01995172040198e+003	(3.25546035106129e+001dB,-8.09908304881924e+001°)
3.09029543251356e+003	(3.27611685241176e+001dB,-8.19786154704435e+001°)
3.16227766016835e+003	(3.29657717354481e+001dB,-8.29624996118299e+001°)
3.23593656929625e+003	(3.31684233224663e+001dB,-8.39426644750326e+001°)
3.31131121482588e+003	(3.33691314052437e+001dB,-8.49192904757486e+001°)
3.38844156139199e+003	(3.35679020713391e+001dB,-8.58925561144163e+001°)
3.46736850452528e+003	(3.37647394063650e+001dB,-8.68626372166605e+001°)
3.54813389233572e+003	(3.39596455301058e+001dB,-8.78297061847118e+001°)
3.63078054770097e+003	(3.41526206378799e+001dB,-8.87939312599734e+001°)
